InvoiceNo  ,UnitPrice,OrderValue,Quantit,Country,InvoiceDate,Major Category,Minor Category,day,month,year,Hour,OrderTimeOfDay
551824,1.25,15.0,12,United Kingdom   ,2011-04-05,  Household  ,      Curtains,5,4,2011,12,Afternoon
553869,2.08,20.8,10,United Kingdom   ,2011-05-19,  Household  ,      Curtains,19,5,2011,14,Afternoon
566602,0.83,0.83,1,United Kingdom   ,2011-09-13,    Kitchen  ,      Coasters,13,9,2011,16,Evening
575647,1.65,9.9,6,United Kingdom   ,2011-10-11,    Kitchen  ,       Cutlery,11,10,2011,14,Afternoon
572513,1.45,2.9,2,United Kingdom   ,2011-10-24,  Household  ,         Lamps,24,10,2011,14,Afternoon
542890,2.95,11.8,4,United Kingdom   ,2011-01-02,  Household  ,         Lamps,2,1,2011,13,Afternoon
547883,0.55,13.2,24,United Kingdom   ,2011-03-28,     Garden  ,         Rakes,28,3,2011,8,Morning
560264,2.95,17.7,6,United Kingdom   ,2011-07-17,  Household  ,        Chairs,17,7,2011,13,Afternoon
539437,5.91,23.64,4,United Kingdom   ,2010-12-17,    Kitchen  ,        Plates,17,12,2010,14,Afternoon
555278,4.13,4.13,1,United Kingdom   ,2011-01-06,    Kitchen  ,       Cutlery,6,1,2011,17,Evening
581492,7.46,7.46,1,United Kingdom   ,2011-09-12,     Garden  ,         Rakes,12,9,2011,10,Morning
568142,3.95,3.95,1,United Kingdom   ,2011-09-25,     Garden  ,         Rakes,25,9,2011,11,Morning
545764,2.95,70.8,24,United Kingdom   ,2011-07-03,    Clothes  ,          Hats,3,7,2011,12,Afternoon
581015,1.95,15.6,8,United Kingdom   ,2011-07-12,    Kitchen  ,        Plates,12,7,2011,9,Morning
537397,2.1,25.2,12,United Kingdom   ,2010-06-12,    Kitchen  ,      Coasters,12,6,2010,14,Afternoon
543546,5.79,5.79,1,United Kingdom   ,2011-09-02,    Kitchen  ,        Scales,2,9,2011,16,Evening
567662,2.08,8.32,4,United Kingdom   ,2011-09-21,    Kitchen  ,Cooking Knives,21,9,2011,15,Afternoon
574706,3.75,15.0,4,United Kingdom   ,2011-06-11,     Garden  ,         Rakes,11,6,2011,14,Afternoon
543815,1.65,3.3,2,United Kingdom   ,2011-02-13,  Household  ,      Curtains,13,2,2011,15,Afternoon
547987,0.85,8.5,10,United Kingdom   ,2011-03-29,    Clothes  ,         Shoes,29,3,2011,9,Morning
575647,4.95,59.4,12,United Kingdom   ,2011-10-11,  Household  ,      Curtains,11,10,2011,14,Afternoon
551197,2.25,2.25,1,United Kingdom   ,2011-04-27,    Kitchen  ,       Cutlery,27,4,2011,11,Morning
577078,0.83,7.47,9,United Kingdom   ,2011-11-17,    Kitchen  ,        Scales,17,11,2011,15,Afternoon
538349,0.85,1.7,2,United Kingdom   ,2010-10-12,  Household  ,         Lamps,12,10,2010,14,Afternoon
567668,14.96,14.96,1,United Kingdom   ,2011-09-21,  Household  ,         Lamps,21,9,2011,15,Afternoon
581471,8.5,8.5,1,United Kingdom   ,2011-08-12,  Household  ,      Curtains,12,8,2011,19,Evening
537144,2.95,8.85,3,United Kingdom   ,2010-05-12,  Household  ,      Curtains,12,5,2010,13,Afternoon
552677,8.29,8.29,1,United Kingdom   ,2011-10-05,    Clothes  ,         Shoes,5,10,2011,15,Afternoon
547223,1.65,9.9,6,United Kingdom   ,2011-03-21,    Kitchen  ,        Scales,21,3,2011,15,Afternoon
580865,2.08,2.08,1,United Kingdom   ,2011-06-12,    Clothes  ,          Tops,12,6,2011,11,Morning
561693,1.45,17.4,12,United Kingdom   ,2011-07-29,  Household  ,         Lamps,29,7,2011,9,Morning
547886,4.25,12.75,3,United Kingdom   ,2011-03-28,    Clothes  ,          Tops,28,3,2011,9,Morning
579508,5.79,5.79,1,United Kingdom   ,2011-11-29,     Garden  ,         Seeds,29,11,2011,16,Evening
560224,2.08,4.16,2,United Kingdom   ,2011-07-15,    Kitchen  ,        Scales,15,7,2011,16,Evening
565234,5.79,52.11,9,United Kingdom   ,2011-02-09,     Garden  ,         Hoses,9,2,2011,9,Morning
557645,1.63,1.63,1,United Kingdom   ,2011-06-21,    Clothes  ,         Shoes,21,6,2011,17,Evening
552560,2.08,20.8,10,United Kingdom   ,2011-10-05,  Household  ,      Curtains,5,10,2011,11,Morning
536638,4.25,17.0,4,United Kingdom   ,2010-02-12,    Clothes  ,         Shoes,12,2,2010,11,Morning
572023,0.85,0.85,1,United Kingdom   ,2011-10-20,    Clothes  ,         Shoes,20,10,2011,11,Morning
545661,0.42,10.5,25,United Kingdom   ,2011-04-03,  Household  ,          Rugs,3,4,2011,14,Afternoon
542401,1.65,4.95,3,United Kingdom   ,2011-01-27,  Household  ,          Rugs,27,1,2011,15,Afternoon
537240,3.36,23.52,7,United Kingdom   ,2010-06-12,    Kitchen  ,      Coasters,12,6,2010,10,Morning
557281,2.55,10.2,4,United Kingdom   ,2011-06-19,  Household  ,          Rugs,19,6,2011,12,Afternoon
567183,2.89,5.78,2,United Kingdom   ,2011-09-18,    Kitchen  ,        Plates,18,9,2011,15,Afternoon
578998,1.25,1.25,1,United Kingdom   ,2011-11-27,    Clothes  ,          Tops,27,11,2011,16,Evening
556812,10.79,10.79,1,United Kingdom   ,2011-06-14,  Household  ,         Lamps,14,6,2011,17,Evening
565233,2.46,2.46,1,United Kingdom   ,2011-02-09,     Garden  ,          Turf,9,2,2011,9,Morning
580983,3.29,3.29,1,United Kingdom   ,2011-06-12,     Garden  ,         Seeds,12,6,2011,16,Evening
558810,4.13,20.65,5,United Kingdom   ,2011-04-07,     Garden  ,         Seeds,7,4,2011,11,Morning
556441,1.65,6.6,4,United Kingdom   ,2011-10-06,    Clothes  ,         Shoes,6,10,2011,15,Afternoon
544065,0.75,9.0,12,United Kingdom   ,2011-02-15,    Clothes  ,         Shoes,15,2,2011,13,Afternoon
580908,1.95,1.95,1,United Kingdom   ,2011-06-12,     Garden  ,          Turf,12,6,2011,13,Afternoon
545085,7.95,7.95,1,United Kingdom   ,2011-02-28,     Garden  ,         Seeds,28,2,2011,11,Morning
580877,1.25,1.25,1,United Kingdom   ,2011-06-12,     Garden  ,         Rakes,12,6,2011,12,Afternoon
581439,2.46,7.38,3,United Kingdom   ,2011-08-12,     Garden  ,          Turf,12,8,2011,16,Evening
572321,0.62,7.44,12,United Kingdom   ,2011-10-24,  Household  ,          Rugs,24,10,2011,8,Morning
573543,4.95,4.95,1,United Kingdom   ,2011-10-31,    Clothes  ,          Tops,31,10,2011,13,Afternoon
578270,2.46,22.14,9,United Kingdom   ,2011-11-23,  Household  ,      Curtains,23,11,2011,13,Afternoon
563692,4.95,9.9,2,United Kingdom   ,2011-08-18,    Clothes  ,          Tops,18,8,2011,13,Afternoon
562727,3.75,15.0,4,United Kingdom   ,2011-09-08,     Garden  ,         Hoses,8,9,2011,9,Morning
570288,2.1,6.3,3,United Kingdom   ,2011-10-10,  Household  ,          Rugs,10,10,2011,11,Morning
541421,7.46,7.46,1,United Kingdom   ,2011-01-17,     Garden  ,          Turf,17,1,2011,17,Evening
554788,7.95,15.9,2,United Kingdom   ,2011-05-26,    Clothes  ,          Tops,26,5,2011,12,Afternoon
579089,0.29,0.29,1,United Kingdom   ,2011-11-28,    Kitchen  ,        Plates,28,11,2011,10,Morning
543645,1.65,4.95,3,United Kingdom   ,2011-10-02,     Garden  ,         Rakes,2,10,2011,17,Evening
565441,0.65,3.9,6,United Kingdom   ,2011-04-09,     Garden  ,          Turf,9,4,2011,14,Afternoon
556107,0.42,10.5,25,United Kingdom   ,2011-08-06,     Garden  ,         Rakes,6,8,2011,17,Evening
561231,1.95,5.85,3,United Kingdom   ,2011-07-26,    Clothes  ,         Shoes,26,7,2011,10,Morning
549714,1.25,1.25,1,United Kingdom   ,2011-11-04,    Clothes  ,         Shoes,4,11,2011,14,Afternoon
559784,2.08,20.8,10,United Kingdom   ,2011-12-07,    Kitchen  ,         Bowls,7,12,2011,12,Afternoon
537154,3.25,26.0,8,United Kingdom   ,2010-05-12,    Kitchen  ,        Plates,12,5,2010,13,Afternoon
568134,0.83,0.83,1,United Kingdom   ,2011-09-23,     Garden  ,          Turf,23,9,2011,17,Evening
575607,1.63,1.63,1,United Kingdom   ,2011-10-11,     Garden  ,         Hoses,11,10,2011,12,Afternoon
554839,4.95,29.7,6,United Kingdom   ,2011-05-26,    Clothes  ,          Hats,26,5,2011,17,Evening
543256,1.25,7.5,6,United Kingdom   ,2011-04-02,     Garden  ,         Rakes,2,4,2011,15,Afternoon
575587,0.79,9.48,12,United Kingdom   ,2011-10-11,    Kitchen  ,Cooking Knives,11,10,2011,12,Afternoon
565350,1.25,3.75,3,United Kingdom   ,2011-02-09,    Kitchen  ,         Bowls,9,2,2011,14,Afternoon
570187,3.29,3.29,1,United Kingdom   ,2011-07-10,    Clothes  ,         Shoes,10,7,2011,15,Afternoon
576618,10.79,10.79,1,United Kingdom   ,2011-11-15,    Clothes  ,          Tops,15,11,2011,17,Evening
539215,3.75,3.75,1,United Kingdom   ,2010-12-16,    Kitchen  ,      Coasters,16,12,2010,12,Afternoon
575491,1.25,3.75,3,United Kingdom   ,2011-09-11,  Household  ,      Curtains,11,9,2011,17,Evening
575410,1.25,15.0,12,United Kingdom   ,2011-09-11,    Clothes  ,          Tops,11,9,2011,15,Afternoon
569225,1.45,2.9,2,United Kingdom   ,2011-02-10,     Garden  ,          Turf,10,2,2011,14,Afternoon
541221,2.46,4.92,2,United Kingdom   ,2011-01-14,    Kitchen  ,        Plates,14,1,2011,14,Afternoon
573415,4.95,9.9,2,United Kingdom   ,2011-10-30,  Household  ,          Rugs,30,10,2011,16,Evening
574856,4.13,4.13,1,United Kingdom   ,2011-07-11,    Clothes  ,         Shoes,11,7,2011,12,Afternoon
581112,2.08,24.96,12,United Kingdom   ,2011-07-12,    Clothes  ,          Hats,12,7,2011,12,Afternoon
565396,2.46,2.46,1,United Kingdom   ,2011-02-09,    Clothes  ,          Tops,9,2,2011,16,Evening
545580,0.55,13.2,24,United Kingdom   ,2011-04-03,     Garden  ,         Seeds,3,4,2011,8,Morning
562085,1.45,34.8,24,United Kingdom   ,2011-02-08,    Kitchen  ,        Plates,8,2,2011,12,Afternoon
559505,2.95,35.4,12,United Kingdom   ,2011-08-07,    Clothes  ,         Shoes,7,8,2011,15,Afternoon
539453,25.49,25.49,1,United Kingdom   ,2010-12-17,    Kitchen  ,        Plates,17,12,2010,17,Evening
579142,0.85,2.55,3,United Kingdom   ,2011-11-28,    Clothes  ,          Tops,28,11,2011,13,Afternoon
548309,1.65,1.65,1,United Kingdom   ,2011-03-30,     Garden  ,         Seeds,30,3,2011,12,Afternoon
540703,0.42,10.5,25,United Kingdom   ,2011-11-01,  Household  ,      Curtains,1,11,2011,9,Morning
546913,2.95,2.95,1,United Kingdom   ,2011-03-17,    Clothes  ,          Tops,17,3,2011,20,Evening
550834,4.25,4.25,1,United Kingdom   ,2011-04-21,     Garden  ,          Turf,21,4,2011,10,Morning
581167,2.08,20.8,10,United Kingdom   ,2011-07-12,  Household  ,        Chairs,12,7,2011,14,Afternoon
547655,1.25,15.0,12,United Kingdom   ,2011-03-24,  Household  ,      Curtains,24,3,2011,12,Afternoon
567333,0.39,9.36,24,United Kingdom   ,2011-09-19,  Household  ,          Rugs,19,9,2011,14,Afternoon
550211,4.13,4.13,1,United Kingdom   ,2011-04-15,  Household  ,      Curtains,15,4,2011,10,Morning
564223,4.95,14.85,3,United Kingdom   ,2011-08-24,    Kitchen  ,       Cutlery,24,8,2011,9,Morning
563333,2.95,11.8,4,United Kingdom   ,2011-08-15,  Household  ,         Lamps,15,8,2011,13,Afternoon
577058,0.83,0.83,1,United Kingdom   ,2011-11-17,  Household  ,        Chairs,17,11,2011,14,Afternoon
541282,1.25,7.5,6,United Kingdom   ,2011-01-17,    Clothes  ,          Tops,17,1,2011,12,Afternoon
580771,0.79,3.16,4,United Kingdom   ,2011-06-12,  Household  ,         Lamps,12,6,2011,10,Morning
554538,19.95,39.9,2,United Kingdom   ,2011-05-24,    Clothes  ,          Hats,24,5,2011,17,Evening
562851,1.65,19.8,12,United Kingdom   ,2011-10-08,    Kitchen  ,        Scales,8,10,2011,10,Morning
559338,0.83,1.66,2,United Kingdom   ,2011-07-07,  Household  ,         Lamps,7,7,2011,16,Evening
578072,2.49,4.98,2,United Kingdom   ,2011-11-22,  Household  ,      Curtains,22,11,2011,16,Evening
556734,5.95,17.85,3,United Kingdom   ,2011-06-14,     Garden  ,         Seeds,14,6,2011,12,Afternoon
557476,4.95,39.6,8,United Kingdom   ,2011-06-20,    Kitchen  ,        Plates,20,6,2011,13,Afternoon
539739,1.66,6.64,4,United Kingdom   ,2010-12-21,  Household  ,         Lamps,21,12,2010,15,Afternoon
581023,7.46,29.84,4,United Kingdom   ,2011-07-12,    Clothes  ,         Shoes,12,7,2011,10,Morning
579508,3.29,3.29,1,United Kingdom   ,2011-11-29,     Garden  ,         Seeds,29,11,2011,16,Evening
575176,0.42,0.84,2,United Kingdom   ,2011-08-11,    Clothes  ,         Shoes,11,8,2011,18,Evening
573876,0.55,1.1,2,United Kingdom   ,2011-01-11,  Household  ,      Curtains,11,1,2011,12,Afternoon
536409,4.95,4.95,1,United Kingdom   ,2010-01-12,    Kitchen  ,        Scales,12,1,2010,11,Morning
569220,1.25,2.5,2,United Kingdom   ,2011-02-10,     Garden  ,          Turf,10,2,2011,13,Afternoon
547947,1.65,16.5,10,United Kingdom   ,2011-03-28,  Household  ,         Lamps,28,3,2011,15,Afternoon
557311,4.25,8.5,2,United Kingdom   ,2011-06-19,    Kitchen  ,        Plates,19,6,2011,15,Afternoon
551718,1.63,1.63,1,United Kingdom   ,2011-03-05,  Household  ,      Curtains,5,3,2011,16,Evening
557502,2.46,2.46,1,United Kingdom   ,2011-06-20,  Household  ,          Rugs,20,6,2011,15,Afternoon
578935,1.45,1.45,1,United Kingdom   ,2011-11-27,    Clothes  ,         Shoes,27,11,2011,12,Afternoon
546100,0.85,10.2,12,United Kingdom   ,2011-09-03,    Clothes  ,         Shoes,3,9,2011,12,Afternoon
550208,12.46,12.46,1,United Kingdom   ,2011-04-15,     Garden  ,         Seeds,15,4,2011,10,Morning
575073,7.95,31.8,4,United Kingdom   ,2011-08-11,    Kitchen  ,        Scales,11,8,2011,13,Afternoon
577078,4.13,4.13,1,United Kingdom   ,2011-11-17,    Clothes  ,          Tops,17,11,2011,15,Afternoon
569790,1.25,1.25,1,United Kingdom   ,2011-06-10,    Clothes  ,          Tops,10,6,2011,11,Morning
579103,1.45,1.45,1,United Kingdom   ,2011-11-28,     Garden  ,         Seeds,28,11,2011,11,Morning
559991,4.95,4.95,1,United Kingdom   ,2011-07-14,    Kitchen  ,         Bowls,14,7,2011,12,Afternoon
558370,0.85,10.2,12,United Kingdom   ,2011-06-28,     Garden  ,          Turf,28,6,2011,15,Afternoon
578251,0.85,5.95,7,United Kingdom   ,2011-11-23,    Kitchen  ,         Bowls,23,11,2011,12,Afternoon
578533,2.55,15.3,6,United Kingdom   ,2011-11-24,    Kitchen  ,        Plates,24,11,2011,14,Afternoon
571502,1.65,16.5,10,United Kingdom   ,2011-10-17,     Garden  ,         Seeds,17,10,2011,15,Afternoon
571121,4.95,44.55,9,United Kingdom   ,2011-10-14,    Kitchen  ,Cooking Knives,14,10,2011,9,Morning
541215,4.95,29.7,6,United Kingdom   ,2011-01-14,    Clothes  ,          Hats,14,1,2011,13,Afternoon
566561,3.75,15.0,4,United Kingdom   ,2011-09-13,    Kitchen  ,        Scales,13,9,2011,12,Afternoon
573923,1.25,25.0,20,United Kingdom   ,2011-02-11,     Garden  ,         Hoses,11,2,2011,9,Morning
578263,0.79,15.8,20,United Kingdom   ,2011-11-23,  Household  ,        Chairs,23,11,2011,13,Afternoon
566279,0.38,1.52,4,United Kingdom   ,2011-11-09,  Household  ,         Lamps,9,11,2011,14,Afternoon
578032,1.65,19.8,12,United Kingdom   ,2011-11-22,  Household  ,      Curtains,22,11,2011,13,Afternoon
549241,1.65,3.3,2,United Kingdom   ,2011-07-04,     Garden  ,         Rakes,4,7,2011,11,Morning
560824,0.55,1.65,3,United Kingdom   ,2011-07-21,    Clothes  ,         Shoes,21,7,2011,11,Morning
577504,0.42,0.84,2,United Kingdom   ,2011-11-20,    Kitchen  ,       Cutlery,20,11,2011,12,Afternoon
568591,2.08,20.8,10,United Kingdom   ,2011-09-28,    Clothes  ,          Hats,28,9,2011,10,Morning
556959,2.95,17.7,6,United Kingdom   ,2011-06-16,    Kitchen  ,         Bowls,16,6,2011,9,Morning
567668,1.63,4.89,3,United Kingdom   ,2011-09-21,    Clothes  ,         Shoes,21,9,2011,15,Afternoon
540821,2.51,2.51,1,United Kingdom   ,2011-11-01,     Garden  ,          Turf,1,11,2011,13,Afternoon
561195,2.08,4.16,2,United Kingdom   ,2011-07-25,  Household  ,          Rugs,25,7,2011,13,Afternoon
538852,2.55,2.55,1,United Kingdom   ,2010-12-14,  Household  ,      Curtains,14,12,2010,13,Afternoon
563580,9.95,9.95,1,United Kingdom   ,2011-08-17,    Kitchen  ,       Cutlery,17,8,2011,15,Afternoon
568701,1.65,19.8,12,United Kingdom   ,2011-09-28,    Clothes  ,          Tops,28,9,2011,15,Afternoon
576329,8.29,8.29,1,United Kingdom   ,2011-11-14,     Garden  ,         Hoses,14,11,2011,15,Afternoon
543530,5.79,34.74,6,United Kingdom   ,2011-09-02,     Garden  ,         Seeds,2,9,2011,12,Afternoon
554598,1.45,1.45,1,United Kingdom   ,2011-05-25,    Clothes  ,         Shoes,25,5,2011,11,Morning
552310,2.08,4.16,2,United Kingdom   ,2011-08-05,  Household  ,         Lamps,5,8,2011,15,Afternoon
581434,3.75,22.5,6,United Kingdom   ,2011-08-12,    Kitchen  ,         Bowls,12,8,2011,16,Evening
550901,1.69,13.52,8,United Kingdom   ,2011-04-21,  Household  ,          Rugs,21,4,2011,12,Afternoon
553507,1.25,2.5,2,United Kingdom   ,2011-05-17,    Clothes  ,         Shoes,17,5,2011,13,Afternoon
578427,3.75,11.25,3,United Kingdom   ,2011-11-24,    Kitchen  ,        Plates,24,11,2011,12,Afternoon
543826,0.42,0.84,2,United Kingdom   ,2011-02-14,     Garden  ,          Turf,14,2,2011,9,Morning
579694,4.96,9.92,2,United Kingdom   ,2011-11-30,    Clothes  ,          Tops,30,11,2011,14,Afternoon
538071,4.24,4.24,1,United Kingdom   ,2010-09-12,     Garden  ,         Hoses,12,9,2010,14,Afternoon
571200,1.65,19.8,12,United Kingdom   ,2011-10-14,    Clothes  ,         Shoes,14,10,2011,12,Afternoon
579456,2.1,2.1,1,United Kingdom   ,2011-11-29,  Household  ,        Chairs,29,11,2011,14,Afternoon
555115,4.96,19.84,4,United Kingdom   ,2011-05-31,  Household  ,          Rugs,31,5,2011,14,Afternoon
554368,3.75,22.5,6,United Kingdom   ,2011-05-24,     Garden  ,          Turf,24,5,2011,10,Morning
542602,7.95,15.9,2,United Kingdom   ,2011-01-30,     Garden  ,         Hoses,30,1,2011,12,Afternoon
546237,0.85,8.5,10,United Kingdom   ,2011-10-03,     Garden  ,          Turf,3,10,2011,12,Afternoon
576634,1.65,39.6,24,United Kingdom   ,2011-11-16,  Household  ,        Chairs,16,11,2011,9,Morning
561231,1.25,12.5,10,United Kingdom   ,2011-07-26,  Household  ,          Rugs,26,7,2011,10,Morning
540536,4.95,4.95,1,United Kingdom   ,2011-09-01,    Kitchen  ,        Scales,1,9,2011,14,Afternoon
570088,0.85,1.7,2,United Kingdom   ,2011-07-10,  Household  ,         Lamps,10,7,2011,11,Morning
577938,2.95,2.95,1,United Kingdom   ,2011-11-22,    Kitchen  ,        Plates,22,11,2011,12,Afternoon
578270,6.63,79.56,12,United Kingdom   ,2011-11-23,     Garden  ,         Hoses,23,11,2011,13,Afternoon
575516,1.65,19.8,12,United Kingdom   ,2011-10-11,    Kitchen  ,       Cutlery,11,10,2011,10,Morning
555336,0.42,1.68,4,United Kingdom   ,2011-02-06,  Household  ,      Curtains,6,2,2011,11,Morning
570210,1.45,1.45,1,United Kingdom   ,2011-09-10,    Clothes  ,          Hats,10,9,2011,10,Morning
563585,1.25,1.25,1,United Kingdom   ,2011-08-17,    Clothes  ,          Tops,17,8,2011,17,Evening
555604,5.95,35.7,6,United Kingdom   ,2011-06-06,     Garden  ,         Seeds,6,6,2011,11,Morning
539492,1.66,3.32,2,United Kingdom   ,2010-12-20,    Clothes  ,          Tops,20,12,2010,10,Morning
579274,8.25,16.5,2,United Kingdom   ,2011-11-29,    Kitchen  ,       Cutlery,29,11,2011,10,Morning
556887,2.95,2.95,1,United Kingdom   ,2011-06-15,     Garden  ,         Hoses,15,6,2011,12,Afternoon
554814,2.08,20.8,10,United Kingdom   ,2011-05-26,  Household  ,      Curtains,26,5,2011,13,Afternoon
555276,4.96,4.96,1,United Kingdom   ,2011-01-06,  Household  ,         Lamps,6,1,2011,17,Evening
553340,1.25,25.0,20,United Kingdom   ,2011-05-16,    Kitchen  ,       Cutlery,16,5,2011,12,Afternoon
540255,1.66,1.66,1,United Kingdom   ,2011-05-01,    Clothes  ,         Shoes,1,5,2011,16,Evening
569229,2.95,2.95,1,United Kingdom   ,2011-02-10,     Garden  ,         Seeds,10,2,2011,14,Afternoon
564660,3.75,15.0,4,United Kingdom   ,2011-08-26,     Garden  ,          Turf,26,8,2011,14,Afternoon
543923,2.95,35.4,12,United Kingdom   ,2011-02-14,    Kitchen  ,        Plates,14,2,2011,14,Afternoon
579002,0.29,1.45,5,United Kingdom   ,2011-11-27,    Kitchen  ,        Plates,27,11,2011,16,Evening
547399,4.13,16.52,4,United Kingdom   ,2011-03-22,     Garden  ,          Turf,22,3,2011,16,Evening
564350,5.75,23.0,4,United Kingdom   ,2011-08-24,    Clothes  ,         Shoes,24,8,2011,14,Afternoon
556187,9.95,39.8,4,United Kingdom   ,2011-09-06,    Clothes  ,          Hats,6,9,2011,11,Morning
566297,0.29,1.74,6,United Kingdom   ,2011-11-09,  Household  ,      Curtains,9,11,2011,15,Afternoon
567303,2.95,35.4,12,United Kingdom   ,2011-09-19,    Kitchen  ,        Scales,19,9,2011,13,Afternoon
544928,5.79,5.79,1,United Kingdom   ,2011-02-24,     Garden  ,         Rakes,24,2,2011,18,Evening
538097,1.65,13.2,8,United Kingdom   ,2010-09-12,     Garden  ,         Rakes,12,9,2010,14,Afternoon
547513,4.25,4.25,1,United Kingdom   ,2011-03-23,    Kitchen  ,        Plates,23,3,2011,13,Afternoon
561695,1.45,34.8,24,United Kingdom   ,2011-07-29,     Garden  ,          Turf,29,7,2011,10,Morning
566005,2.55,7.65,3,United Kingdom   ,2011-08-09,    Clothes  ,          Tops,9,8,2011,11,Morning
